中島　卓也, (日), 左打ち, 143試合, 打率0.243, 600打席, 115安打, 0本塁打, 28打点, 117三振, 長打率0.268
今宮　健太, (ソ), 右打ち, 137試合, 打率0.245, 590打席, 122安打, 10本塁打, 56打点, 86三振, 長打率0.370
中田　翔, (日), 右打ち, 141試合, 打率0.250, 624打席, 142安打, 25本塁打, 110打点, 126三振, 長打率0.431
岡島　豪郎, (楽), 左打ち, 127試合, 打率0.252, 485打席, 106安打, 6本塁打, 35打点, 49三振, 長打率0.345
メヒア, (西), 右打ち, 137試合, 打率0.252, 583打席, 129安打, 35本塁打, 103打点, 148三振, 長打率0.509
松田　宣浩, (ソ), 右打ち, 143試合, 打率0.259, 609打席, 142安打, 27本塁打, 85打点, 141三振, 長打率0.467
レアード, (日), 右打ち, 143試合, 打率0.263, 598打席, 144安打, 39本塁打, 97打点, 138三振, 長打率0.516
西野　真弘, (オ), 左打ち, 143試合, 打率0.264, 610打席, 142安打, 2本塁打, 33打点, 55三振, 長打率0.331
藤田　一也, (楽), 左打ち, 120試合, 打率0.265, 449打席, 108安打, 0本塁打, 46打点, 44三振, 長打率0.321
ウィーラー, (楽), 右打ち, 140試合, 打率0.265, 589打席, 137安打, 27本塁打, 88打点, 123三振, 長打率0.478
金子　侑司, (西), 両打ち, 129試合, 打率0.265, 520打席, 122安打, 1本塁打, 33打点, 69三振, 長打率0.311
田中　賢介, (日), 左打ち, 143試合, 打率0.272, 626打席, 147安打, 2本塁打, 53打点, 56三振, 長打率0.312
安達　了一, (オ), 右打ち, 118試合, 打率0.273, 488打席, 110安打, 1本塁打, 34打点, 53三振, 長打率0.323
銀次, (楽), 左打ち, 125試合, 打率0.274, 497打席, 116安打, 2本塁打, 43打点, 49三振, 長打率0.333
茂木　栄五郎, (楽), 左打ち, 117試合, 打率0.278, 481打席, 118安打, 7本塁打, 40打点, 95三振, 長打率0.408
栗山　巧, (西), 左打ち, 135試合, 打率0.279, 569打席, 133安打, 3本塁打, 41打点, 87三振, 長打率0.369
デスパイネ, (ロ), 右打ち, 134試合, 打率0.280, 570打席, 139安打, 24本塁打, 92打点, 89三振, 長打率0.480
Ｔ−岡田, (オ), 左打ち, 123試合, 打率0.284, 513打席, 129安打, 20本塁打, 76打点, 105三振, 長打率0.471
鈴木　大地, (ロ), 左打ち, 143試合, 打率0.285, 583打席, 143安打, 6本塁打, 61打点, 56三振, 長打率0.389
中村　晃, (ソ), 左打ち, 143試合, 打率0.287, 612打席, 140安打, 7本塁打, 50打点, 53三振, 長打率0.377
陽　岱鋼, (日), 右打ち, 130試合, 打率0.293, 555打席, 145安打, 14本塁打, 61打点, 121三振, 長打率0.430
秋山　翔吾, (西), 左打ち, 143試合, 打率0.296, 671打席, 171安打, 11本塁打, 62打点, 103三振, 長打率0.422
内川　聖一, (ソ), 右打ち, 141試合, 打率0.304, 605打席, 169安打, 18本塁打, 106打点, 53三振, 長打率0.435
柳田　悠岐, (ソ), 左打ち, 120試合, 打率0.306, 536打席, 131安打, 18本塁打, 73打点, 97三振, 長打率0.523
糸井　嘉男, (オ), 左打ち, 143試合, 打率0.306, 616打席, 163安打, 17本塁打, 70打点, 84三振, 長打率0.451
浅村　栄斗, (西), 右打ち, 143試合, 打率0.309, 611打席, 172安打, 24本塁打, 82打点, 108三振, 長打率0.510
西川　遥輝, (日), 左打ち, 138試合, 打率0.314, 593打席, 155安打, 5本塁打, 43打点, 113三振, 長打率0.398
角中　勝也, (ロ), 左打ち, 143試合, 打率0.339, 607打席, 178安打, 8本塁打, 69打点, 64三振, 長打率0.461
