ゴメス, (神), 右打ち, 139試合, 打率0.255, 554打席, 127安打, 22本塁打, 79打点, 130三振, 長打率0.428
田中　広輔, (広), 左打ち, 143試合, 打率0.265, 679打席, 154安打, 13本塁打, 39打点, 119三振, 長打率0.372
バレンティン, (ヤ), 右打ち, 132試合, 打率0.269, 537打席, 123安打, 31本塁打, 96打点, 116三振, 長打率0.516
梶谷　隆幸, (デ), 左打ち, 107試合, 打率0.273, 450打席, 108安打, 18本塁打, 56打点, 110三振, 長打率0.480
_山　俊, (神), 左打ち, 134試合, 打率0.275, 530打席, 136安打, 8本塁打, 65打点, 109三振, 長打率0.391
丸　佳浩, (広), 左打ち, 143試合, 打率0.291, 652打席, 162安打, 20本塁打, 90打点, 107三振, 長打率0.481
菊池　涼介, (広), 右打ち, 141試合, 打率0.315, 640打席, 181安打, 13本塁打, 56打点, 106三振, 長打率0.432
ギャレット, (巨), 左打ち, 123試合, 打率0.258, 465打席, 109安打, 24本塁打, 68打点, 106三振, 長打率0.486
筒香　嘉智, (デ), 左打ち, 133試合, 打率0.322, 561打席, 151安打, 44本塁打, 110打点, 105三振, 長打率0.680
新井　貴浩, (広), 右打ち, 132試合, 打率0.300, 513打席, 136安打, 19本塁打, 101打点, 101三振, 長打率0.485
山田　哲人, (ヤ), 右打ち, 133試合, 打率0.304, 590打席, 146安打, 38本塁打, 102打点, 101三振, 長打率0.607
倉本　寿彦, (デ), 左打ち, 141試合, 打率0.294, 566打席, 157安打, 1本塁打, 38打点, 98三振, 長打率0.343
桑原　将志, (デ), 右打ち, 133試合, 打率0.284, 522打席, 131安打, 11本塁打, 49打点, 93三振, 長打率0.413
平田　良介, (中), 右打ち, 118試合, 打率0.248, 494打席, 103安打, 14本塁打, 73打点, 89三振, 長打率0.411
村田　修一, (巨), 右打ち, 143試合, 打率0.302, 576打席, 160安打, 25本塁打, 81打点, 83三振, 長打率0.505
鳥谷　敬, (神), 左打ち, 143試合, 打率0.236, 533打席, 106安打, 7本塁打, 36打点, 80三振, 長打率0.323
鈴木　誠也, (広), 右打ち, 129試合, 打率0.335, 528打席, 156安打, 29本塁打, 95打点, 79三振, 長打率0.612
長野　久義, (巨), 右打ち, 143試合, 打率0.283, 618打席, 163安打, 11本塁打, 42打点, 78三振, 長打率0.403
福留　孝介, (神), 左打ち, 131試合, 打率0.311, 523打席, 141安打, 11本塁打, 59打点, 78三振, 長打率0.453
小林　誠司, (巨), 右打ち, 129試合, 打率0.204, 458打席, 81安打, 4本塁打, 35打点, 76三振, 長打率0.269
ロペス, (デ), 右打ち, 123試合, 打率0.263, 518打席, 127安打, 34本塁打, 95打点, 75三振, 長打率0.534
大島　洋平, (中), 左打ち, 143試合, 打率0.292, 656打席, 175安打, 3本塁打, 27打点, 69三振, 長打率0.382
堂上　直倫, (中), 右打ち, 131試合, 打率0.254, 507打席, 116安打, 6本塁打, 46打点, 69三振, 長打率0.362
ビシエド, (中), 右打ち, 119試合, 打率0.274, 471打席, 114安打, 22本塁打, 68打点, 68三振, 長打率0.486
坂本　勇人, (巨), 右打ち, 137試合, 打率0.344, 576打席, 168安打, 23本塁打, 75打点, 67三振, 長打率0.555
坂口　智隆, (ヤ), 左打ち, 141試合, 打率0.295, 607打席, 155安打, 0本塁打, 39打点, 66三振, 長打率0.340
川端　慎吾, (ヤ), 左打ち, 103試合, 打率0.302, 458打席, 127安打, 1本塁打, 32打点, 31三振, 長打率0.367
